platform_id,platform,title,resource_id,parsed_media_id,stale_db_path,gpupc_full_path,nas_full_path,source_url,file_size_bytes,verified_on_disk
bilibili_BV1Bm6bB5EJ3,bilibili,OpenClaw(clawdbot)是什么？跟Skills/MCP/RAG/Memory/AI Agent有什么关系?,277988327420043,277988279324714,2026-02/bilibili_BV1Bm6bB5EJ3.mp4,/mnt/heytime/Sources/nous/media/global/resources/web/bilibili/277988279324714/video.mp4,/volume2/sources/MediaHub.library/global/resources/web/bilibili/277988279324714/video.mp4,https://www.bilibili.com/video/BV1Bm6bB5EJ3?spm_id_from=333.788.recommend_more_video.0&trackid=web_related_0.router-related-2479604-9kkcc.1770567110534.464&vd_source=79705ab0af488edbc043d7490c0306dc,23298765,OK
bilibili_BV1MfFAz6EnR_p1,bilibili,Clawdbot(OpenClaw)本地部署，接入微信/飞书/钉钉/QQ实现自动化运行，10分钟手把手教会，保姆级教程（附完整操作文档） p01 本地部署+接入飞书、钉钉、微信,277988327415945,277988279324712,2026-02/bilibili_BV1MfFAz6EnR_p1.mp4,/mnt/heytime/Sources/nous/media/global/resources/web/bilibili/277988279324712/video.mp4,/volume2/sources/MediaHub.library/global/resources/web/bilibili/277988279324712/video.mp4,https://www.bilibili.com/video/BV1MfFAz6EnR?spm_id_from=333.788.recommend_more_video.1&trackid=web_related_0.router-related-2479604-qrth5.1770567609868.411&vd_source=79705ab0af488edbc043d7490c0306dc,34691224,OK
bilibili_BV1ojfDBSEPv,bilibili,【闪客】名词诈骗！一口气拆穿Skill/MCP/RAG/Agent/OpenClaw底层逻辑,277988327411845,277988279324708,2026-02/bilibili_BV1ojfDBSEPv.mp4,/mnt/heytime/Sources/nous/media/global/resources/web/bilibili/277988279324708/video.mp4,/volume2/sources/MediaHub.library/global/resources/web/bilibili/277988279324708/video.mp4,https://www.bilibili.com/video/BV1ojfDBSEPv/?spm_id_from=333.1007.tianma.2-3-6.click&vd_source=79705ab0af488edbc043d7490c0306dc,40915028,OK
bilibili_BV1Q4FpzAELq,bilibili,Gemini 25 宫格分镜加香蕉 pro 8K Ai 效果图漫游课程-02,277988327407742,277988279324699,2026-02/bilibili_BV1Q4FpzAELq.mp4,/mnt/heytime/Sources/nous/media/global/resources/web/bilibili/277988279324699/video.mp4,/volume2/sources/MediaHub.library/global/resources/web/bilibili/277988279324699/video.mp4,https://www.bilibili.com/video/BV1Q4FpzAELq/?spm_id_from=333.1007.tianma.1-2-2.click&vd_source=79705ab0af488edbc043d7490c0306dc,327076685,OK
bilibili_BV1qt421N7Cb,bilibili,一个插件帮你搞定前端服务监控与数据埋点,277988327420044,277988279324715,2026-02/bilibili_BV1qt421N7Cb_一个插件帮你搞定前端服务监控与数据埋点_cover.jpg,/mnt/heytime/Sources/nous/media/global/resources/web/bilibili/277988279324715/video.jpg,/volume2/sources/MediaHub.library/global/resources/web/bilibili/277988279324715/video.jpg,https://www.bilibili.com/video/BV1qt421N7Cb/?share_source=copy_web&vd_source=baeb1dc5f6683a3886c192559053b6cf,287950,OK
7489053405176941882,douyin,3000元就能买一个名字很好听…,277988327452856,277988279328856,2026-01/7489053405176941882_3000元就能买一个名字很好听….mp4,/mnt/heytime/Sources/nous/media/global/resources/web/douyin/277988279328856/video.mp4,/volume2/sources/MediaHub.library/global/resources/web/douyin/277988279328856/video.mp4,https://v.douyin.com/mnTQsenkUh8/,3241811,OK
7509461365157793033,douyin,疣猪蓬蓬 大难不死必有一劫一代…,277988327456959,277988279332959,2026-01/7509461365157793033_疣猪蓬蓬 大难不死必有一劫一代….mp4,/mnt/heytime/Sources/nous/media/global/resources/web/douyin/277988279332959/video.mp4,/volume2/sources/MediaHub.library/global/resources/web/douyin/277988279332959/video.mp4,https://v.douyin.com/Zi7pRD6CXZY/,86894809,OK
7513028940550737191,douyin,深度解析新世界最强翻拍究竟为何…,277988327456956,277988279328860,2026-01/7513028940550737191_深度解析新世界最强翻拍究竟为何….mp4,/mnt/heytime/Sources/nous/media/global/resources/web/douyin/277988279328860/video.mp4,/volume2/sources/MediaHub.library/global/resources/web/douyin/277988279328860/video.mp4,https://v.douyin.com/0fAEoL1UNuU/,398656057,OK
7517316978550394121,douyin,字节跳动自研大模型豆包大模型特…,277988327477463,277988279332983,2026-01/7517316978550394121_字节跳动自研大模型豆包大模型特….mp4,/mnt/heytime/Sources/nous/media/global/resources/web/douyin/277988279332983/video.mp4,/volume2/sources/MediaHub.library/global/resources/web/douyin/277988279332983/video.mp4,https://v.douyin.com/iin_x_zw0OI/,20605307,OK
7520186884887301387,douyin,不死之身 老婆联手小白脸捅死他…,277988327469259,277988279332971,2026-01/7520186884887301387_不死之身 老婆联手小白脸捅死他….mp4,/mnt/heytime/Sources/nous/media/global/resources/web/douyin/277988279332971/video.mp4,/volume2/sources/MediaHub.library/global/resources/web/douyin/277988279332971/video.mp4,https://v.douyin.com/Os3VQklcpkw/,203748125,OK
